sorghum3,Pv1_jcvi
Sobic.002G296900,No Gene
Sobic.002G297000,Pavagv11036157m
Sobic.002G297100,Pavagv11036161m
Sobic.002G297200,Pavagv11036162m
Sobic.002G297300,Pavagv11036169m
Sobic.002G297400,No Gene
Sobic.002G297500,Pavagv11036179m
Sobic.002G297600,Pavagv11036184m
Sobic.002G297700,Pavagv11036188m
Sobic.002G297800,Pavagv11036189m
Sobic.002G297900,Pavagv11036190m
Sobic.002G298100,No Gene
Sobic.002G298201,No Gene
Sobic.002G298300,Pavagv11036191m
Sobic.002G298400,No Gene
Sobic.002G298500,No Gene
Sobic.002G298600,No Gene
Sobic.002G298700,Pavagv11036197m
Sobic.002G298800,Pavagv11036198m
Sobic.002G298900,Pavagv11036200m
Sobic.002G299000,Pavagv11036201m
Sobic.002G299100,Pavagv11036202m
Sobic.002G299200,Pavagv11036203m
Sobic.002G299300,Pavagv11036206m
Sobic.002G299400,Pavagv11036208m
Sobic.002G299500,Pavagv11036209m
Sobic.002G299600,Pavagv11036210m
Sobic.002G299700,Pavagv11036212m
Sobic.002G299800,Pavagv11036213m
Sobic.002G299900,Pavagv11036214m
Sobic.002G300000,Pavagv11036215m
Sobic.002G300100,Pavagv11036216m
Sobic.002G300300,Pavagv11036217m
Sobic.002G300400,Pavagv11036219m
Sobic.002G300500,Pavagv11036222m
Sobic.002G300600,Pavagv11036224m
Sobic.002G300700,Pavagv11036227m
Sobic.002G300800,Pavagv11036229m
Sobic.002G300850,No Gene
Sobic.002G300900,No Gene
Sobic.002G300950,No Gene
Sobic.002G301000,Pavagv11036233m
Sobic.002G301100,Pavagv11036235m
Sobic.002G301200,Pavagv11036237m
Sobic.002G301300,Pavagv11036238m
Sobic.002G301400,Pavagv11036241m
Sobic.002G301500,No Gene
Sobic.002G301600,No Gene
Sobic.002G301700,No Gene
Sobic.002G301800,No Gene
Sobic.002G301900,No Gene
Sobic.002G302000,Pavagv11036250m
Sobic.002G302100,No Gene
Sobic.002G302200,No Gene
Sobic.002G302300,Pavagv11036255m
Sobic.002G302400,No Gene
Sobic.002G302500,Pavagv11036256m
Sobic.002G302600,Pavagv11036259m
Sobic.002G302700,Pavagv11036264m
Sobic.002G302800,Pavagv11036266m
Sobic.002G302900,Pavagv11036268m
Sobic.002G303000,Pavagv11036269m
Sobic.002G303100,Pavagv11036270m
Sobic.002G303200,Pavagv11036277m
Sobic.002G303300,Pavagv11036279m
Sobic.002G303400,No Gene
Sobic.002G303500,Pavagv11036280m
Sobic.002G303600,Pavagv11036281m
Sobic.002G303700,No Gene
Sobic.002G303800,Pavagv11036282m
Sobic.002G303900,Pavagv11036285m
Sobic.002G303950,No Gene
Sobic.002G304000,Pavagv11036288m
Sobic.002G304100,Pavagv11036289m
Sobic.002G304200,No Gene
Sobic.002G304300,Pavagv11036290m
Sobic.002G304400,Pavagv11036291m
Sobic.002G304500,Pavagv11036293m
Sobic.002G304600,No Gene
Sobic.002G304700,Pavagv11036295m
Sobic.002G304801,Pavagv11036242m
Sobic.002G304900,Pavagv11036297m
Sobic.002G305000,Pavagv11036298m
Sobic.002G305100,Pavagv11036303m
Sobic.002G305200,Pavagv11036305m
Sobic.002G305300,No Gene
Sobic.002G305400,Pavagv11036309m
Sobic.002G305500,No Gene
Sobic.002G305600,Pavagv11036306m
Sobic.002G305700,No Gene
Sobic.002G305750,No Gene
Sobic.002G305800,Pavagv11036311m
Sobic.002G305900,Pavagv11036313m
Sobic.002G306000,Pavagv11036314m
Sobic.002G306100,Pavagv11036315m
Sobic.002G306201,Pavagv11036316m
Sobic.002G306300,Pavagv11036317m
Sobic.002G306400,Pavagv11036320m
Sobic.002G306500,Pavagv11036325m
Sobic.002G306600,Pavagv11036326m
Sobic.002G306700,Pavagv11036332m
Sobic.002G306800,Pavagv11036335m
Sobic.002G306900,Pavagv11036337m
Sobic.002G307000,No Gene
Sobic.002G307100,No Gene
Sobic.002G307200,No Gene
Sobic.002G307300,No Gene
Sobic.002G307400,No Gene
Sobic.002G307500,No Gene
Sobic.002G307600,Pavagv11036338m
Sobic.002G307700,Pavagv11036339m
Sobic.002G307800,Pavagv11036340m
Sobic.002G307900,Pavagv11036342m
Sobic.002G308000,Pavagv11036343m
Sobic.002G308200,Pavagv11036345m
Sobic.002G308300,Pavagv11036346m
Sobic.002G308400,Pavagv11036347m
Sobic.002G308500,Pavagv11036349m
Sobic.002G308600,No Gene
Sobic.002G308700,Pavagv11036351m
Sobic.002G308800,Pavagv11036352m
Sobic.002G308900,No Gene
Sobic.002G309000,Pavagv11036355m
Sobic.002G309100,Pavagv11036356m
Sobic.002G309150,No Gene
Sobic.002G309200,Pavagv11036361m
Sobic.002G309300,No Gene
Sobic.002G309400,Pavagv11036363m
Sobic.002G309500,Pavagv11036366m
Sobic.002G309600,Pavagv11036367m
Sobic.002G309700,Pavagv11036368m
Sobic.002G309800,Pavagv11036371m
Sobic.002G309900,Pavagv11036372m
Sobic.002G310100,No Gene
Sobic.002G310000,No Gene
Sobic.002G310200,Pavagv11036374m
Sobic.002G310300,Pavagv11036376m
Sobic.002G310400,No Gene
Sobic.002G310500,Pavagv11036377m
Sobic.002G310600,No Gene
Sobic.002G310800,No Gene
Sobic.002G310900,Pavagv11036380m
Sobic.002G311000,Pavagv11036381m
Sobic.002G311100,Pavagv11036382m
Sobic.002G311200,Pavagv11036384m
Sobic.002G311300,Pavagv11036386m
Sobic.002G311350,No Gene
Sobic.002G311400,No Gene
Sobic.002G311501,No Gene
Sobic.002G311601,No Gene
Sobic.002G311700,Pavagv11036388m
Sobic.002G311900,Pavagv11036396m
Sobic.002G312000,No Gene
Sobic.002G312100,Pavagv11036398m
Sobic.002G312200,Pavagv11036399m
Sobic.002G312300,No Gene
Sobic.002G312400,Pavagv11036401m
Sobic.002G312500,No Gene
Sobic.002G312550,No Gene
Sobic.002G312600,Pavagv11036402m
Sobic.002G312700,Pavagv11036403m
Sobic.002G312800,Pavagv11036405m
Sobic.002G312900,Pavagv11036406m
Sobic.002G313000,Pavagv11036407m
Sobic.002G313100,No Gene
Sobic.002G313300,Pavagv11036412m
Sobic.002G313400,Pavagv11036413m
Sobic.002G313500,Pavagv11036414m
Sobic.002G313600,Pavagv11036415m
Sobic.002G313700,Pavagv11036416m
Sobic.002G313800,Pavagv11036419m
Sobic.002G313850,No Gene
Sobic.002G313900,Pavagv11036421m
Sobic.002G314000,Pavagv11036424m
Sobic.002G314100,Pavagv11036425m
Sobic.002G314200,Pavagv11036426m
Sobic.002G314300,Pavagv11036427m
Sobic.002G314400,Pavagv11036428m
Sobic.002G314500,Pavagv11036429m
Sobic.002G314600,No Gene
Sobic.002G314700,Pavagv11036435m
Sobic.002G314800,Pavagv11036441m
Sobic.002G314900,Pavagv11036442m
Sobic.002G314950,Pavagv11036446m
Sobic.002G315000,Pavagv11036447m
Sobic.002G315100,Pavagv11036448m
Sobic.002G315200,Pavagv11036450m
Sobic.002G315400,Pavagv11036451m
Sobic.002G315450,No Gene
Sobic.002G315500,Pavagv11036453m
Sobic.002G315700,No Gene
Sobic.002G315800,No Gene
Sobic.002G315900,Pavagv11036454m
Sobic.002G316000,Pavagv11036455m
Sobic.002G316100,Pavagv11036456m
Sobic.002G316200,Pavagv11036459m
Sobic.002G316301,No Gene
Sobic.002G316400,No Gene
Sobic.002G316500,Pavagv11036458m
Sobic.002G316600,Pavagv11036460m
Sobic.002G316700,Pavagv11036462m
Sobic.002G316800,Pavagv11036463m
Sobic.002G316900,Pavagv11036465m
Sobic.002G317001,No Gene
Sobic.002G317100,Pavagv11036466m
Sobic.002G317200,Pavagv11036467m
Sobic.002G317300,Pavagv11036469m
Sobic.002G317350,No Gene
Sobic.002G317400,Pavagv11036471m
Sobic.002G317500,Pavagv11036473m
Sobic.002G317600,Pavagv11036474m
Sobic.002G317700,No Gene
Sobic.002G317800,Pavagv11036475m
Sobic.002G317900,No Gene
Sobic.002G318000,Pavagv11036477m
Sobic.002G318100,No Gene
Sobic.002G318200,Pavagv11036479m
Sobic.002G318300,Pavagv11036481m
Sobic.002G318400,No Gene
Sobic.002G318501,Pavagv11036482m
Sobic.002G318600,Pavagv11036484m
Sobic.002G318700,No Gene
Sobic.002G318800,Pavagv11036485m
Sobic.002G318900,No Gene
Sobic.002G319100,Pavagv11036486m
Sobic.002G319200,Pavagv11036487m
Sobic.002G319300,Pavagv11036489m
Sobic.002G319400,Pavagv11036491m
Sobic.002G319500,Pavagv11036493m
Sobic.002G319600,No Gene
Sobic.002G319700,No Gene
Sobic.002G319766,No Gene
Sobic.002G319832,Pavagv11036499m
Sobic.002G319900,Pavagv11036500m
Sobic.002G320001,No Gene
Sobic.002G320100,Pavagv11036501m
Sobic.002G320200,Pavagv11036502m
Sobic.002G320300,No Gene
Sobic.002G320500,No Gene
Sobic.002G320600,Pavagv11036504m
Sobic.002G320700,Pavagv11036507m
Sobic.002G320800,Pavagv11036506m
Sobic.002G320900,Pavagv11036508m
Sobic.002G321000,No Gene
Sobic.002G321100,Pavagv11036515m
Sobic.002G321200,Pavagv11036518m
Sobic.002G321300,Pavagv11036519m
Sobic.002G321400,Pavagv11036522m
Sobic.002G321500,Pavagv11036523m
Sobic.002G321600,No Gene
Sobic.002G321700,No Gene
Sobic.002G321800,Pavagv11036524m
Sobic.002G321901,No Gene
Sobic.002G322000,Pavagv11036526m
Sobic.002G322101,No Gene
Sobic.002G322200,No Gene
Sobic.002G322100,No Gene
Sobic.002G322300,Pavagv11036528m
Sobic.002G322350,No Gene
Sobic.002G322400,Pavagv11036530m
Sobic.002G322500,Pavagv11036532m
Sobic.002G322600,Pavagv11036533m
Sobic.002G322700,No Gene
Sobic.002G322800,Pavagv11036534m
Sobic.002G322900,Pavagv11036535m
Sobic.002G323000,No Gene
Sobic.002G323200,Pavagv11036536m
Sobic.002G323300,Pavagv11036540m
Sobic.002G323400,No Gene
Sobic.002G323500,No Gene
Sobic.002G323600,No Gene
Sobic.002G323700,Pavagv11036542m
Sobic.002G323800,No Gene
Sobic.002G323900,No Gene
Sobic.002G324000,Pavagv11036544m
Sobic.002G324100,Pavagv11036545m
Sobic.002G324200,Pavagv11036546m
Sobic.002G324300,Pavagv11036547m
Sobic.002G324400,No Gene
Sobic.002G324500,No Gene
Sobic.002G324700,Pavagv11036552m
Sobic.002G324801,Pavagv11036561m
Sobic.002G324900,Pavagv11036564m
Sobic.002G325000,No Gene
Sobic.002G325100,Pavagv11036568m
Sobic.002G325200,Pavagv11036569m
Sobic.002G325300,Pavagv11036570m
Sobic.002G325400,Pavagv11036571m
Sobic.002G325500,Pavagv11036574m
Sobic.002G325600,No Gene
Sobic.002G325700,No Gene
Sobic.002G325800,Pavagv11036577m
Sobic.002G325900,Pavagv11036578m
Sobic.002G326000,No Gene
Sobic.002G326050,No Gene
Sobic.002G326100,Pavagv11036586m
Sobic.002G326200,Pavagv11036588m
Sobic.002G326300,Pavagv11036589m
Sobic.002G326400,Pavagv11036593m
Sobic.002G326500,Pavagv11036594m
Sobic.002G326650,Pavagv11036607m
Sobic.002G326800,No Gene
Sobic.002G326900,No Gene
Sobic.002G327000,No Gene
Sobic.002G327100,No Gene
Sobic.002G327201,Pavagv11036609m
Sobic.002G327300,Pavagv11036612m
Sobic.002G327400,No Gene
Sobic.002G327500,Pavagv11036618m
Sobic.002G327600,Pavagv11036621m
Sobic.002G327700,No Gene
Sobic.002G327800,No Gene
Sobic.002G327900,Pavagv11036679m
Sobic.002G328000,No Gene
Sobic.002G328100,Pavagv11036678m
Sobic.002G328200,No Gene
Sobic.002G328250,No Gene
Sobic.002G328300,Pavagv11036635m
Sobic.002G328400,No Gene
Sobic.002G328500,Pavagv11036629m
Sobic.002G328550,No Gene
Sobic.002G328600,Pavagv11036686m
Sobic.002G328800,Pavagv11036628m
Sobic.002G328900,Pavagv11036659m
Sobic.002G329000,Pavagv11036714m
Sobic.002G329100,No Gene
Sobic.002G329200,Pavagv11036689m
Sobic.002G329300,Pavagv11036690m
Sobic.002G329400,Pavagv11036692m
Sobic.002G329500,Pavagv11036694m
Sobic.002G329600,Pavagv11036695m
Sobic.002G329700,Pavagv11036696m
Sobic.002G329800,Pavagv11036697m
Sobic.002G329900,Pavagv11036699m
Sobic.002G330000,No Gene
Sobic.002G330100,Pavagv11036700m
Sobic.002G330200,No Gene
Sobic.002G330300,Pavagv11036701m
Sobic.002G330400,Pavagv11036702m
Sobic.002G330500,Pavagv11036705m
Sobic.002G330600,Pavagv11036708m
Sobic.002G330700,Pavagv11036710m
Sobic.002G330800,Pavagv11036718m
Sobic.002G330900,No Gene
Sobic.002G331000,No Gene
Sobic.002G331050,No Gene
Sobic.002G331100,Pavagv11036723m
Sobic.002G331200,No Gene
Sobic.002G331300,Pavagv11036724m
Sobic.002G331400,Pavagv11036751m
Sobic.002G331450,No Gene
Sobic.002G331500,No Gene
Sobic.002G331600,No Gene
Sobic.002G331700,No Gene
Sobic.002G331800,Pavagv11036726m
Sobic.002G331900,No Gene
Sobic.002G332000,Pavagv11036728m
Sobic.002G332100,Pavagv11036730m
Sobic.002G332200,Pavagv11036731m
Sobic.002G332300,Pavagv11036734m
Sobic.002G332400,Pavagv11036735m
Sobic.002G332500,Pavagv11036736m
Sobic.002G332600,Pavagv11036737m
Sobic.002G332750,Pavagv11036739m
Sobic.002G332900,No Gene
Sobic.002G333001,Pavagv11036749m
Sobic.002G333100,No Gene
Sobic.002G333200,No Gene
Sobic.002G333300,Pavagv11036752m
Sobic.002G333400,Pavagv11036753m
Sobic.002G333500,Pavagv11036755m
Sobic.002G333600,Pavagv11036756m
Sobic.002G333700,No Gene
Sobic.002G333800,Pavagv11036760m
Sobic.002G333900,Pavagv11036762m
Sobic.002G334000,Pavagv11036766m
Sobic.002G334100,No Gene
Sobic.002G334200,No Gene
Sobic.002G334300,Pavagv11036758m
Sobic.002G334400,No Gene
Sobic.002G334500,Pavagv11036769m
Sobic.002G334600,Pavagv11036818m
Sobic.002G334700,No Gene
Sobic.002G334800,No Gene
Sobic.002G334900,Pavagv11036770m
Sobic.002G335000,Pavagv11036773m
Sobic.002G335100,No Gene
Sobic.002G335200,Pavagv11036775m
Sobic.002G335300,Pavagv11036776m
Sobic.002G335400,Pavagv11036778m
Sobic.002G335500,Pavagv11036785m
Sobic.002G335600,Pavagv11036788m
Sobic.002G335700,Pavagv11036789m
Sobic.002G335900,Pavagv11036809m
Sobic.002G336000,Pavagv11036812m
Sobic.002G336100,No Gene
Sobic.002G336200,Pavagv11036820m
Sobic.002G336400,No Gene
Sobic.002G336500,No Gene
Sobic.002G336600,Pavagv11036822m
Sobic.002G336700,No Gene
Sobic.002G336800,No Gene
Sobic.002G336900,No Gene
Sobic.002G337001,No Gene
Sobic.002G337100,Pavagv11036832m
Sobic.002G337300,Pavagv11036834m
Sobic.002G337400,Pavagv11036835m
Sobic.002G337500,No Gene
Sobic.002G337600,Pavagv11036836m
Sobic.002G337700,Pavagv11036837m
Sobic.002G337800,Pavagv11036843m
Sobic.002G338000,Pavagv11036847m
Sobic.002G338100,Pavagv11036848m
Sobic.002G338200,Pavagv11036850m
Sobic.002G338250,Pavagv11036851m
Sobic.002G338300,Pavagv11036852m
Sobic.002G338400,Pavagv11036854m
Sobic.002G338450,No Gene
Sobic.002G338500,Pavagv11036855m
Sobic.002G338600,No Gene
Sobic.002G338700,Pavagv11036857m
Sobic.002G338800,Pavagv11036859m
Sobic.002G338900,Pavagv11036860m
Sobic.002G339000,Pavagv11036861m
Sobic.002G339100,Pavagv11036864m
Sobic.002G339200,Pavagv11036866m
Sobic.002G339250,No Gene
Sobic.002G339300,Pavagv11036867m
Sobic.002G339400,Pavagv11036868m
Sobic.002G339500,Pavagv11036869m
Sobic.002G339600,No Gene
Sobic.002G339666,No Gene
Sobic.002G339732,No Gene
Sobic.002G339800,Pavagv11036870m
Sobic.002G339900,Pavagv11036872m
Sobic.002G340000,Pavagv11036873m
Sobic.002G340100,Pavagv11036879m
Sobic.002G340200,No Gene
Sobic.002G340350,Pavagv11036882m
Sobic.002G340500,Pavagv11036883m
Sobic.002G340600,Pavagv11036885m
Sobic.002G340700,Pavagv11036886m
Sobic.002G340900,Pavagv11036887m
Sobic.002G341000,Pavagv11036889m
Sobic.002G341100,Pavagv11036890m
Sobic.002G341200,Pavagv11036891m
Sobic.002G341300,Pavagv11036899m
Sobic.002G341400,No Gene
Sobic.002G341500,Pavagv11036904m
Sobic.002G341600,Pavagv11036901m
Sobic.002G341700,Pavagv11036902m
Sobic.002G341800,Pavagv11036908m
Sobic.002G341900,Pavagv11036909m
Sobic.002G342000,Pavagv11036910m
Sobic.002G342100,Pavagv11036914m
Sobic.002G342200,Pavagv11036915m
Sobic.002G342300,Pavagv11036918m
Sobic.002G342400,No Gene
Sobic.002G342500,Pavagv11036921m
Sobic.002G342600,Pavagv11036922m
Sobic.002G342700,Pavagv11036923m
Sobic.002G342800,Pavagv11036924m
Sobic.002G342901,Pavagv11036925m
Sobic.002G343000,Pavagv11036927m
Sobic.002G343100,Pavagv11036928m
Sobic.002G343200,Pavagv11036929m
Sobic.002G343300,Pavagv11036930m
Sobic.002G343400,Pavagv11036933m
Sobic.002G343500,Pavagv11036934m
Sobic.002G343600,Pavagv11036935m
Sobic.002G343700,Pavagv11036936m
Sobic.002G343800,No Gene
Sobic.002G343901,No Gene
Sobic.002G344000,No Gene
Sobic.002G344100,No Gene
Sobic.002G344201,No Gene
Sobic.002G344301,No Gene
Sobic.002G344400,No Gene
Sobic.002G344500,No Gene
Sobic.002G344600,Pavagv11036938m
Sobic.002G344700,Pavagv11036939m
Sobic.002G344800,No Gene
Sobic.002G344900,No Gene
Sobic.002G345000,Pavagv11036942m
Sobic.002G345100,Pavagv11036943m
Sobic.002G345200,Pavagv11036944m
Sobic.002G345300,Pavagv11036945m
Sobic.002G345400,No Gene
Sobic.002G345500,No Gene
Sobic.002G345600,No Gene
Sobic.002G345700,Pavagv11036948m
Sobic.002G345800,Pavagv11036950m
Sobic.002G345850,No Gene
Sobic.002G345900,No Gene
Sobic.002G346000,No Gene
Sobic.002G346100,No Gene
Sobic.002G346200,Pavagv11036952m
Sobic.002G346250,No Gene
Sobic.002G346300,No Gene
Sobic.002G346400,Pavagv11036955m
Sobic.002G346600,Pavagv11036960m
Sobic.002G346501,No Gene
Sobic.002G346700,Pavagv11036963m
Sobic.002G346800,Pavagv11036964m
Sobic.002G346900,Pavagv11036965m
Sobic.002G347000,Pavagv11036966m
Sobic.002G347100,No Gene
Sobic.002G347200,No Gene
Sobic.002G347300,Pavagv11036968m
Sobic.002G347400,Pavagv11036969m
Sobic.002G347500,Pavagv11036971m
Sobic.002G347600,No Gene
Sobic.002G347700,No Gene
Sobic.002G347750,No Gene
Sobic.002G347800,No Gene
Sobic.002G347850,Pavagv11036972m
Sobic.002G347900,Pavagv11036973m
Sobic.002G348000,Pavagv11036975m
Sobic.002G348100,Pavagv11036976m
Sobic.002G348200,No Gene
Sobic.002G348300,Pavagv11036977m
Sobic.002G348400,Pavagv11036978m
Sobic.002G348500,Pavagv11036979m
Sobic.002G348600,Pavagv11036980m
Sobic.002G348700,Pavagv11036981m
Sobic.002G348850,No Gene
Sobic.002G348800,No Gene
Sobic.002G348900,Pavagv11036982m
Sobic.002G349000,Pavagv11036983m
Sobic.002G349100,Pavagv11036984m
Sobic.002G349200,No Gene
Sobic.002G349300,Pavagv11036988m
Sobic.002G349400,No Gene
Sobic.002G349500,Pavagv11036989m
Sobic.002G349600,Pavagv11036993m
Sobic.002G349800,No Gene
Sobic.002G349900,Pavagv11037000m
Sobic.002G350000,No Gene
Sobic.002G350100,Pavagv11037002m
Sobic.002G350200,No Gene
Sobic.002G350300,Pavagv11037004m
Sobic.002G350400,Pavagv11037007m
Sobic.002G350500,Pavagv11037008m
Sobic.002G350600,Pavagv11037009m
Sobic.002G350700,Pavagv11037010m
Sobic.002G350800,No Gene
Sobic.002G350901,No Gene
Sobic.002G351000,No Gene
Sobic.002G351100,No Gene
Sobic.002G351200,Pavagv11037012m
Sobic.002G351300,Pavagv11037013m
Sobic.002G351400,Pavagv11037014m
Sobic.002G351500,No Gene
Sobic.002G351600,Pavagv11037016m
Sobic.002G351700,Pavagv11037017m
Sobic.002G351801,No Gene
Sobic.002G351900,Pavagv11037019m
Sobic.002G352000,Pavagv11037020m
Sobic.002G352100,Pavagv11037024m
Sobic.002G352200,Pavagv11037025m
Sobic.002G352301,No Gene
Sobic.002G352401,No Gene
Sobic.002G352501,Pavagv11037030m
Sobic.002G352600,No Gene
Sobic.002G352700,Pavagv11037026m
Sobic.002G352800,Pavagv11037028m
Sobic.002G352900,No Gene
Sobic.002G353000,Pavagv11037045m
Sobic.002G353100,Pavagv11037048m
Sobic.002G353200,Pavagv11037049m
Sobic.002G353300,Pavagv11037053m
Sobic.002G353400,Pavagv11037054m
Sobic.002G353450,No Gene
Sobic.002G353500,Pavagv11037056m
Sobic.002G353600,Pavagv11037057m
Sobic.002G353700,Pavagv11037059m
Sobic.002G353800,Pavagv11037060m
Sobic.002G353900,No Gene
Sobic.002G354000,No Gene
Sobic.002G354100,Pavagv11037067m
Sobic.002G354200,No Gene
Sobic.002G354300,No Gene
Sobic.002G354400,Pavagv11037072m
Sobic.002G354501,Pavagv11037074m
Sobic.002G354600,Pavagv11037077m
Sobic.002G354700,Pavagv11037078m
Sobic.002G354800,Pavagv11037079m
Sobic.002G354900,Pavagv11037086m
Sobic.002G355000,Pavagv11037087m
Sobic.002G355100,Pavagv11037097m
Sobic.002G355200,Pavagv11037098m
Sobic.002G355300,Pavagv11037099m
Sobic.002G355400,Pavagv11037101m
Sobic.002G355500,Pavagv11037102m
Sobic.002G355600,No Gene
Sobic.002G355700,No Gene
Sobic.002G355800,Pavagv11037104m
Sobic.002G355900,No Gene
Sobic.002G356000,No Gene
Sobic.002G356101,Pavagv11037108m
Sobic.002G356200,Pavagv11037111m
Sobic.002G356300,Pavagv11037115m
Sobic.002G356400,Pavagv11037116m
Sobic.002G356500,Pavagv11037117m
Sobic.002G356600,Pavagv11037118m
Sobic.002G356700,No Gene
Sobic.002G356800,Pavagv11037119m
Sobic.002G356900,Pavagv11037121m
Sobic.002G357000,Pavagv11037122m
Sobic.002G357100,Pavagv11037123m
Sobic.002G357200,No Gene
Sobic.002G357300,Pavagv11037124m
Sobic.002G357400,Pavagv11037125m
Sobic.002G357500,Pavagv11037126m
Sobic.002G357600,Pavagv11037127m
Sobic.002G357700,Pavagv11037128m
Sobic.002G357800,Pavagv11037129m
Sobic.002G357900,Pavagv11037132m
Sobic.002G357950,No Gene
Sobic.002G358000,No Gene
Sobic.002G358100,Pavagv11037146m
Sobic.002G358200,No Gene
Sobic.002G358300,Pavagv11037148m
Sobic.002G358400,Pavagv11037150m
Sobic.002G358450,No Gene
Sobic.002G358500,No Gene
Sobic.002G358600,Pavagv11037151m
Sobic.002G358800,Pavagv11037157m
Sobic.002G358900,Pavagv11037154m
Sobic.002G359000,Pavagv11037158m
Sobic.002G359100,Pavagv11037160m
Sobic.002G359200,Pavagv11037161m
Sobic.002G359300,Pavagv11037162m
Sobic.002G359400,No Gene
Sobic.002G359500,No Gene
Sobic.002G359600,Pavagv11037164m
Sobic.002G359700,Pavagv11037165m
Sobic.002G359800,Pavagv11037166m
Sobic.002G359900,Pavagv11037167m
Sobic.002G360000,Pavagv11037168m
Sobic.002G360100,Pavagv11037169m
Sobic.002G360200,Pavagv11037175m
Sobic.002G360301,Pavagv11037177m
Sobic.002G360400,No Gene
Sobic.002G360500,Pavagv11037178m
Sobic.002G360600,No Gene
Sobic.002G360701,No Gene
Sobic.002G360801,No Gene
Sobic.002G360900,Pavagv11037181m
Sobic.002G361001,No Gene
Sobic.002G361100,No Gene
Sobic.002G361200,Pavagv11037187m
Sobic.002G361300,Pavagv11037192m
Sobic.002G361400,Pavagv11037193m
Sobic.002G361500,Pavagv11037194m
Sobic.002G361600,Pavagv11037195m
Sobic.002G361700,Pavagv11037196m
Sobic.002G361800,Pavagv11037197m
Sobic.002G361900,Pavagv11037199m
Sobic.002G362000,Pavagv11037201m
Sobic.002G362100,Pavagv11037202m
Sobic.002G362200,No Gene
Sobic.002G362300,Pavagv11037205m
Sobic.002G362400,No Gene
Sobic.002G362500,Pavagv11037210m
Sobic.002G362600,Pavagv11037212m
Sobic.002G362700,Pavagv11037213m
Sobic.002G362800,Pavagv11037217m
Sobic.002G362900,Pavagv11037218m
Sobic.002G363000,No Gene
Sobic.002G363100,Pavagv11037220m
Sobic.002G363200,Pavagv11037221m
Sobic.002G363300,No Gene
Sobic.002G363400,Pavagv11037222m
Sobic.002G363433,No Gene
Sobic.002G363466,No Gene
Sobic.002G363500,Pavagv11037224m
Sobic.002G363600,Pavagv11037226m
Sobic.002G363700,Pavagv11037227m
Sobic.002G363800,Pavagv11037229m
Sobic.002G363901,No Gene
Sobic.002G364000,Pavagv11037230m
Sobic.002G364100,Pavagv11037234m
Sobic.002G364301,No Gene
Sobic.002G364500,No Gene
Sobic.002G364600,No Gene
Sobic.002G364700,Pavagv11037236m
Sobic.002G364800,Pavagv11037237m
Sobic.002G364900,Pavagv11037238m
Sobic.002G365100,Pavagv11037239m
Sobic.002G365200,No Gene
Sobic.002G365300,Pavagv11037240m
Sobic.002G365400,Pavagv11037243m
Sobic.002G365500,Pavagv11037246m
Sobic.002G365550,No Gene
Sobic.002G365600,No Gene
Sobic.002G365700,Pavagv11037248m
Sobic.002G365801,Pavagv11037251m
Sobic.002G365900,Pavagv11037252m
Sobic.002G366000,Pavagv11037255m
Sobic.002G366100,No Gene
Sobic.002G366200,Pavagv11037256m
Sobic.002G366300,Pavagv11037258m
Sobic.002G366400,Pavagv11037259m
Sobic.002G366500,No Gene
Sobic.002G366600,No Gene
Sobic.002G366700,No Gene
Sobic.002G366800,Pavagv11037261m
Sobic.002G366900,Pavagv11037263m
Sobic.002G367000,Pavagv11037264m
Sobic.002G367100,Pavagv11037266m
Sobic.002G367200,Pavagv11037269m
Sobic.002G367300,Pavagv11037271m
Sobic.002G367400,Pavagv11037273m
Sobic.002G367500,No Gene
Sobic.002G367600,Pavagv11037277m
Sobic.002G367700,Pavagv11037278m
Sobic.002G367800,Pavagv11037279m
Sobic.002G367850,No Gene
Sobic.002G367900,No Gene
Sobic.002G368000,Pavagv11037281m
Sobic.002G368100,Pavagv11037284m
Sobic.002G368200,No Gene
Sobic.002G368300,Pavagv11037285m
Sobic.002G368400,Pavagv11037287m
Sobic.002G368500,Pavagv11037288m
Sobic.002G368600,Pavagv11037291m
Sobic.002G368700,Pavagv11037292m
Sobic.002G368800,Pavagv11037295m
Sobic.002G368901,Pavagv11037296m
Sobic.002G369000,No Gene
Sobic.002G369100,Pavagv11037297m
Sobic.002G369200,Pavagv11037305m
Sobic.002G369301,No Gene
Sobic.002G369400,Pavagv11037308m
Sobic.002G369500,No Gene
Sobic.002G369600,No Gene
Sobic.002G369701,Pavagv11037309m
Sobic.002G369800,Pavagv11037311m
Sobic.002G370000,Pavagv11037312m
Sobic.002G370100,Pavagv11037313m
Sobic.002G370150,No Gene
Sobic.002G370200,Pavagv11037316m
Sobic.002G370300,Pavagv11037317m
Sobic.002G370400,Pavagv11037318m
Sobic.002G370500,Pavagv11037321m
Sobic.002G370600,Pavagv11037322m
Sobic.002G370700,Pavagv11037323m
Sobic.002G370800,Pavagv11037324m
Sobic.002G370900,Pavagv11037328m
Sobic.002G371000,Pavagv11037330m
Sobic.002G371100,Pavagv11037331m
Sobic.002G371200,Pavagv11037332m
Sobic.002G371300,Pavagv11037333m
Sobic.002G371400,Pavagv11037335m
Sobic.002G371500,No Gene
Sobic.002G371600,No Gene
Sobic.002G371700,No Gene
Sobic.002G371800,Pavagv11037336m
